Model,Feature,SHAP_Importance
Ridge,scaled_influenza_lag4,0.0024093753442139066
Ridge,scaled_influenza_lag5,0.02896809896860501
Ridge,scaled_influenza_lag6,0.0027701195569176766
Ridge,scaled_influenza_lag7,0.021850270500079875
Ridge,scaled_influenza_lag8,0.02750474574909857
Ridge,scaled_ili_percent_lag1,0.023352861579740224
Ridge,scaled_ili_percent_lag2,0.014128091367977488
Ridge,scaled_ili_percent_lag3,0.03142068915876403
Ridge,scaled_flu symptoms_lag3_squared,0.007340996095467696
Ridge,scaled_influenza_lag3_squared,0.01898937969358081
Ridge,flu symptoms_X_month_sin,0.021159085365032828
Ridge,flu symptoms_X_month_cos,0.017744427210087385
Ridge,fever_X_month_sin,0.11556225809759639
Ridge,fever_X_month_cos,0.07206513881803084
Ridge,cough_X_month_sin,0.09640519552983343
Ridge,cough_X_month_cos,0.12616183515595863
Ridge,sore throat_X_month_sin,0.08193169874822609
Ridge,sore throat_X_month_cos,0.06932110585727207
Ridge,influenza_X_month_sin,0.021314390845947467
Ridge,influenza_X_month_cos,0.008022137799737835
Ridge,scaled_flu symptoms_X_month_sin,0.021159085365032824
Ridge,scaled_flu symptoms_X_month_cos,0.017744427210087406
Ridge,scaled_fever_X_month_sin,0.11556225809759635
Ridge,scaled_fever_X_month_cos,0.07206513881803082
Ridge,scaled_cough_X_month_sin,0.09640519552983343
Ridge,scaled_cough_X_month_cos,0.12616183515595863
Ridge,scaled_sore throat_X_month_sin,0.08193169874822614
Ridge,scaled_sore throat_X_month_cos,0.06932110585727207
Ridge,scaled_influenza_X_month_sin,0.021314390845947464
Ridge,scaled_influenza_X_month_cos,0.008022137799737837
Ridge,flu symptoms_lag3_squared.1,0.007340996095467714
Ridge,influenza_lag3_squared.1,0.018989379693580822
Ridge,scaled_flu symptoms_lag3_squared.1,0.007340996095467696
Ridge,scaled_influenza_lag3_squared.1,0.01898937969358081
Ridge,flu symptoms_rolling_avg,0.01317459126253589
Ridge,fever_rolling_avg,0.006254676943572203
Ridge,cough_rolling_avg,0.07713052814119993
Ridge,sore throat_rolling_avg,0.010938788095126164
Ridge,influenza_rolling_avg,0.009233913010563078
Ridge,scaled_flu symptoms_rolling_avg,0.0131745912625359
Ridge,scaled_fever_rolling_avg,0.0062546769435721334
Ridge,scaled_cough_rolling_avg,0.07713052814119994
Ridge,scaled_sore throat_rolling_avg,0.010938788095126136
Ridge,scaled_influenza_rolling_avg,0.009233913010563055
Lasso,month,0.0
Lasso,quarter,0.010385314158752042
Lasso,season_Spring,0.20216751687687856
Lasso,season_Summer,0.10027250799990288
Lasso,season_Winter,0.0
Lasso,month_sin,0.48570607217412753
Lasso,month_cos,0.0
Lasso,time_index,0.0
Lasso,flu symptoms_lag1,0.0
Lasso,flu symptoms_lag2,0.01698558443533532
Lasso,flu symptoms_lag3,0.0
Lasso,flu symptoms_lag4,0.008579222499815565
Lasso,flu symptoms_lag5,0.03641988293077427
Lasso,flu symptoms_lag6,0.02605126775857658
Lasso,flu symptoms_lag7,0.0
Lasso,flu symptoms_lag8,0.0
Lasso,fever_lag1,0.0
Lasso,fever_lag2,0.0
Lasso,fever_lag3,0.0
Lasso,fever_lag4,0.0
Lasso,fever_lag5,0.0
Lasso,fever_lag6,0.0
Lasso,fever_lag7,0.0
Lasso,fever_lag8,0.0
Lasso,cough_lag1,0.0
Lasso,cough_lag2,0.0
Lasso,cough_lag3,0.0
Lasso,cough_lag4,0.0
Lasso,cough_lag5,0.0
Lasso,cough_lag6,0.0
Lasso,cough_lag7,0.0
Lasso,cough_lag8,0.0
Lasso,sore throat_lag1,0.0
Lasso,sore throat_lag2,0.0
Lasso,sore throat_lag3,0.0
Lasso,sore throat_lag4,0.0
Lasso,sore throat_lag5,0.0
Lasso,sore throat_lag6,0.0
Lasso,sore throat_lag7,0.0
Lasso,sore throat_lag8,0.0
Lasso,influenza_lag1,0.0
Lasso,influenza_lag2,0.026425196580717698
Lasso,influenza_lag3,0.0
Lasso,influenza_lag4,0.0
Lasso,influenza_lag5,0.0
Lasso,influenza_lag6,0.0
Lasso,influenza_lag7,0.0
Lasso,influenza_lag8,0.0
Lasso,ili_percent_lag1,0.20422387230013356
Lasso,ili_percent_lag2,0.0
Lasso,ili_percent_lag3,0.0
Lasso,flu symptoms_lag3_squared,0.0
Lasso,influenza_lag3_squared,0.0
Lasso,scaled_flu symptoms_lag1,0.0
Lasso,scaled_flu symptoms_lag2,2.21068646241407e-05
Lasso,scaled_flu symptoms_lag3,0.0
Lasso,scaled_flu symptoms_lag4,0.007123312770600329
Lasso,scaled_flu symptoms_lag5,0.010828763374663345
Lasso,scaled_flu symptoms_lag6,0.0011613993998066238
Lasso,scaled_flu symptoms_lag7,0.0
Lasso,scaled_flu symptoms_lag8,0.0
Lasso,scaled_fever_lag1,0.0
Lasso,scaled_fever_lag2,0.0
Lasso,scaled_fever_lag3,0.0
Lasso,scaled_fever_lag4,0.0
Lasso,scaled_fever_lag5,0.0
Lasso,scaled_fever_lag6,0.0
Lasso,scaled_fever_lag7,0.0
Lasso,scaled_fever_lag8,0.0
Lasso,scaled_cough_lag1,0.0
Lasso,scaled_cough_lag2,0.0
Lasso,scaled_cough_lag3,0.0
Lasso,scaled_cough_lag4,0.0
Lasso,scaled_cough_lag5,0.0
Lasso,scaled_cough_lag6,0.0
Lasso,scaled_cough_lag7,0.0
Lasso,scaled_cough_lag8,0.0
Lasso,scaled_sore throat_lag1,0.0
Lasso,scaled_sore throat_lag2,0.0
Lasso,scaled_sore throat_lag3,0.0
Lasso,scaled_sore throat_lag4,0.0
Lasso,scaled_sore throat_lag5,0.0
Lasso,scaled_sore throat_lag6,0.0
Lasso,scaled_sore throat_lag7,0.0
Lasso,scaled_sore throat_lag8,0.0
Lasso,scaled_influenza_lag1,0.0
Lasso,scaled_influenza_lag2,0.0005270767342129838
Lasso,scaled_influenza_lag3,0.0
Lasso,scaled_influenza_lag4,0.0
Lasso,scaled_influenza_lag5,0.0
Lasso,scaled_influenza_lag6,0.0
Lasso,scaled_influenza_lag7,0.0
Lasso,scaled_influenza_lag8,0.0
Lasso,scaled_ili_percent_lag1,0.0006343875466063182
Lasso,scaled_ili_percent_lag2,0.0
Lasso,scaled_ili_percent_lag3,0.0
Lasso,scaled_flu symptoms_lag3_squared,0.0
Lasso,scaled_influenza_lag3_squared,0.0
Lasso,flu symptoms_X_month_sin,0.0
Lasso,flu symptoms_X_month_cos,0.04927770654030807
Lasso,fever_X_month_sin,0.0
Lasso,fever_X_month_cos,0.0
Lasso,cough_X_month_sin,0.0
Lasso,cough_X_month_cos,0.21420215910294385
Lasso,sore throat_X_month_sin,0.3397726343939049
Lasso,sore throat_X_month_cos,0.0
Lasso,influenza_X_month_sin,0.0
Lasso,influenza_X_month_cos,0.0
Lasso,scaled_flu symptoms_X_month_sin,0.0
Lasso,scaled_flu symptoms_X_month_cos,0.001504158703305994
Lasso,scaled_fever_X_month_sin,0.0
Lasso,scaled_fever_X_month_cos,0.0
Lasso,scaled_cough_X_month_sin,0.0
Lasso,scaled_cough_X_month_cos,0.00021527665024524922
Lasso,scaled_sore throat_X_month_sin,0.0001948807179794702
Lasso,scaled_sore throat_X_month_cos,0.0
Lasso,scaled_influenza_X_month_sin,0.0
Lasso,scaled_influenza_X_month_cos,0.0
Lasso,flu symptoms_lag3_squared.1,0.0
Lasso,influenza_lag3_squared.1,0.0
Lasso,scaled_flu symptoms_lag3_squared.1,0.0
Lasso,scaled_influenza_lag3_squared.1,0.0
Lasso,flu symptoms_rolling_avg,0.0
Lasso,fever_rolling_avg,0.0
Lasso,cough_rolling_avg,0.0
Lasso,sore throat_rolling_avg,0.0
Lasso,influenza_rolling_avg,0.0
Lasso,scaled_flu symptoms_rolling_avg,0.0
Lasso,scaled_fever_rolling_avg,0.0
Lasso,scaled_cough_rolling_avg,0.0
Lasso,scaled_sore throat_rolling_avg,0.0
Lasso,scaled_influenza_rolling_avg,0.0
Random Forest,month,0.3284526343604517
Random Forest,quarter,0.2777492277309487
Random Forest,season_Spring,0.2377357751954876
Random Forest,season_Summer,0.00020514185657268747
Random Forest,season_Winter,0.0
Random Forest,month_sin,0.09092723302204073
Random Forest,month_cos,0.032258050847067184
Random Forest,time_index,0.007551968633956294
Random Forest,flu symptoms_lag1,0.01023068309415499
Random Forest,flu symptoms_lag2,0.0014103695964850455
Random Forest,flu symptoms_lag3,0.002014978795616576
Random Forest,flu symptoms_lag4,0.009229359344613077
Random Forest,flu symptoms_lag5,0.012375827004174124
Random Forest,flu symptoms_lag6,0.002336931769716949
Random Forest,flu symptoms_lag7,0.0001892058952091212
Random Forest,flu symptoms_lag8,0.006178742482927331
Random Forest,fever_lag1,0.006932333157018453
Random Forest,fever_lag2,0.006206570603067734
Random Forest,fever_lag3,0.0015458822010410152
Random Forest,fever_lag4,0.0009631602398890266
Random Forest,fever_lag5,0.0017545348157461025
Random Forest,fever_lag6,0.002704076343137179
Random Forest,fever_lag7,0.0007299621689944633
Random Forest,fever_lag8,0.0025720083662188627
Random Forest,cough_lag1,0.00638578282003679
Random Forest,cough_lag2,0.0016828162768914728
Random Forest,cough_lag3,0.006986031554369628
Random Forest,cough_lag4,0.003414106505874219
Random Forest,cough_lag5,0.0010325331812163917
Random Forest,cough_lag6,0.0030053756250123013
Random Forest,cough_lag7,0.0009571156078236273
Random Forest,cough_lag8,0.00047410232821794545
Random Forest,sore throat_lag1,0.002890466137990276
Random Forest,sore throat_lag2,0.001063222418101107
Random Forest,sore throat_lag3,0.001042862884375421
Random Forest,sore throat_lag4,0.0033288065848085884
Random Forest,sore throat_lag5,0.0009220589291493326
Random Forest,sore throat_lag6,0.0006054692294359462
Random Forest,sore throat_lag7,0.0024757140123944626
Random Forest,sore throat_lag8,0.0013467540806286291
Random Forest,influenza_lag1,0.004195644858233724
Random Forest,influenza_lag2,0.006257066932524501
Random Forest,influenza_lag3,0.0006504011470412124
Random Forest,influenza_lag4,0.0014122438294786638
Random Forest,influenza_lag5,0.00016648424283692993
Random Forest,influenza_lag6,0.0008428559111444054
Random Forest,influenza_lag7,0.003249741575262084
Random Forest,influenza_lag8,0.0002546273550244001
Random Forest,ili_percent_lag1,0.06351722793101047
Random Forest,ili_percent_lag2,0.004501276835056705
Random Forest,ili_percent_lag3,0.01950637902946052
Random Forest,flu symptoms_lag3_squared,0.0021436580009764647
Random Forest,influenza_lag3_squared,0.0007563702222519581
Random Forest,scaled_flu symptoms_lag1,0.0058972821704971045
Random Forest,scaled_flu symptoms_lag2,0.0005002485860351573
Random Forest,scaled_flu symptoms_lag3,0.0027369154130776185
Random Forest,scaled_flu symptoms_lag4,0.00441387616553203
Random Forest,scaled_flu symptoms_lag5,0.0007456518433656548
Random Forest,scaled_flu symptoms_lag6,0.0012264859682128277
Random Forest,scaled_flu symptoms_lag7,0.000565858490022609
Random Forest,scaled_flu symptoms_lag8,0.006233507186192855
Random Forest,scaled_fever_lag1,0.010553450314872963
Random Forest,scaled_fever_lag2,0.009293994971904869
Random Forest,scaled_fever_lag3,0.0013272716043096677
Random Forest,scaled_fever_lag4,0.0017752056340896321
Random Forest,scaled_fever_lag5,0.0016788987359782816
Random Forest,scaled_fever_lag6,0.0013165776694187862
Random Forest,scaled_fever_lag7,0.0012549807092283429
Random Forest,scaled_fever_lag8,0.001472560203687412
Random Forest,scaled_cough_lag1,0.006978856411104258
Random Forest,scaled_cough_lag2,0.0015997098521646693
Random Forest,scaled_cough_lag3,0.005490277707648813
Random Forest,scaled_cough_lag4,0.005805577610223521
Random Forest,scaled_cough_lag5,0.0012594042188772312
Random Forest,scaled_cough_lag6,0.0029606480589780327
Random Forest,scaled_cough_lag7,0.0008114942879288966
Random Forest,scaled_cough_lag8,0.0003547775694866341
Random Forest,scaled_sore throat_lag1,0.003486185091857737
Random Forest,scaled_sore throat_lag2,0.001554949672583599
Random Forest,scaled_sore throat_lag3,0.0010886291592719578
Random Forest,scaled_sore throat_lag4,0.0023119525273657382
Random Forest,scaled_sore throat_lag5,0.0028088571268383095
Random Forest,scaled_sore throat_lag6,0.001092160878764709
Random Forest,scaled_sore throat_lag7,0.001999986172844819
Random Forest,scaled_sore throat_lag8,0.00260550843294758
Random Forest,scaled_influenza_lag1,0.0021180402462278878
Random Forest,scaled_influenza_lag2,0.006463570219909511
Random Forest,scaled_influenza_lag3,0.0007655224386380916
Random Forest,scaled_influenza_lag4,0.0021761034983401187
Random Forest,scaled_influenza_lag5,0.00014986658691830786
Random Forest,scaled_influenza_lag6,0.0006527218102772094
Random Forest,scaled_influenza_lag7,0.001653296271987071
Random Forest,scaled_influenza_lag8,0.0002748924318616193
Random Forest,scaled_ili_percent_lag1,0.058129292435750365
Random Forest,scaled_ili_percent_lag2,0.004424379353759917
Random Forest,scaled_ili_percent_lag3,0.007615421545380992
Random Forest,scaled_flu symptoms_lag3_squared,0.0044401936293973565
Random Forest,scaled_influenza_lag3_squared,0.00042460133464007784
Random Forest,flu symptoms_X_month_sin,0.12933504584423727
Random Forest,flu symptoms_X_month_cos,0.0022653657087486788
Random Forest,fever_X_month_sin,0.08815592857056345
Random Forest,fever_X_month_cos,0.014910520299272501
Random Forest,cough_X_month_sin,0.13803522390467957
Random Forest,cough_X_month_cos,0.0023525648171788182
Random Forest,sore throat_X_month_sin,0.14417209786197197
Random Forest,sore throat_X_month_cos,0.0073828594825513984
Random Forest,influenza_X_month_sin,0.08433103643660096
Random Forest,influenza_X_month_cos,0.0023911343009852116
Random Forest,scaled_flu symptoms_X_month_sin,0.01391704461925706
Random Forest,scaled_flu symptoms_X_month_cos,0.002808156796536887
Random Forest,scaled_fever_X_month_sin,0.01007907752365113
Random Forest,scaled_fever_X_month_cos,0.01230375989331586
Random Forest,scaled_cough_X_month_sin,0.009097710613472799
Random Forest,scaled_cough_X_month_cos,0.006113165304087946
Random Forest,scaled_sore throat_X_month_sin,0.01314473456204148
Random Forest,scaled_sore throat_X_month_cos,0.0036433840501468944
Random Forest,scaled_influenza_X_month_sin,0.010782631446978972
Random Forest,scaled_influenza_X_month_cos,0.0009741051374428912
Random Forest,flu symptoms_lag3_squared.1,0.0008543148053219228
Random Forest,influenza_lag3_squared.1,0.00042901993322733134
Random Forest,scaled_flu symptoms_lag3_squared.1,0.00258870934775247
Random Forest,scaled_influenza_lag3_squared.1,0.000468529996170797
Random Forest,flu symptoms_rolling_avg,0.003562728335164393
Random Forest,fever_rolling_avg,0.00250378450963325
Random Forest,cough_rolling_avg,0.0031771782753731133
Random Forest,sore throat_rolling_avg,0.0017061743491891654
Random Forest,influenza_rolling_avg,0.002551361457074102
Random Forest,scaled_flu symptoms_rolling_avg,0.0018422874241376332
Random Forest,scaled_fever_rolling_avg,0.004257643150893733
Random Forest,scaled_cough_rolling_avg,0.003089660823077256
Random Forest,scaled_sore throat_rolling_avg,0.004444531881591008
Random Forest,scaled_influenza_rolling_avg,0.0018392974477416037
XGBoost,month,1.0517466068267822
XGBoost,quarter,0.0
XGBoost,season_Spring,0.21360674500465393
XGBoost,season_Summer,0.0
XGBoost,season_Winter,0.0
XGBoost,month_sin,0.0
XGBoost,month_cos,0.00026825425447896123
XGBoost,time_index,0.012878840789198875
XGBoost,flu symptoms_lag1,0.008459620177745819
XGBoost,flu symptoms_lag2,0.004329192917793989
XGBoost,flu symptoms_lag3,0.04433322697877884
XGBoost,flu symptoms_lag4,0.029051929712295532
XGBoost,flu symptoms_lag5,0.023627780377864838
XGBoost,flu symptoms_lag6,0.005885367747396231
XGBoost,flu symptoms_lag7,0.001777970464900136
XGBoost,flu symptoms_lag8,0.0120237423107028
XGBoost,fever_lag1,0.030558859929442406
XGBoost,fever_lag2,0.027908330783247948
XGBoost,fever_lag3,0.010324484668672085
XGBoost,fever_lag4,0.00664039421826601
XGBoost,fever_lag5,0.0007947276462800801
XGBoost,fever_lag6,0.015588147565722466
XGBoost,fever_lag7,0.0009952515829354525
XGBoost,fever_lag8,0.00282653677277267
XGBoost,cough_lag1,0.03478708118200302
XGBoost,cough_lag2,0.004069700837135315
XGBoost,cough_lag3,0.015479977242648602
XGBoost,cough_lag4,0.00027372402837499976
XGBoost,cough_lag5,0.008355173282325268
XGBoost,cough_lag6,0.012479296885430813
